Schulnummer;Schulname;Angemeldete SuS;Unterrichtete SuS;Unterrichtete Schulen;Freier Träger
10G34;34. Grundschule;2;2;;Nachhilfe Berlin-Brandenburg 
10K01;Rudolf-Virchow-Oberschule;82;;;
10K02;Ernst-Haeckel-Schule;13;28;;KIDS & CO g.e.V. 
10K03;Kerschensteiner-Schule;3;;;
10K05;Jean-Piaget Oberschule;54;27;;KIDS & CO g.e.V. 
10K06;Georg Klingenberg Schule;39;;;Schlaufuchs eV 
10K07;Caspar-David-Friedrich-Schule;27;27;;Schlaufuchs eV 
10K08;Johann-Julius-Hecker-Schule;18;;;
10K09;Konrad-Wachsmann-Schule;65;;;Schlaufuchs eV 
10K10;Wolfgang-Amadeus-Mozart-Schule;41;16;;Studienkreis GmbH 
10K11;Marcana-Schule;37;48;;Intellego 
